common_name,site,index,lwr,upr,rel_index,naive_rate,doy_min,doy_max,coverage
Black-headed Grosbeak,AC_02,0.2326025362086807,0.16573138958786093,0.34256594893525194,71.41088201259774,0.3491147421601201,105,215,1
Black-headed Grosbeak,AC_12,0.18003077355008534,0.05261998064235346,0.6726469301960842,55.270920679419724,0.16666666666666666,105,127,0
Black-headed Grosbeak,SJC_03,0.00832253358190077,0.005235580550746069,0.013863285881722493,2.5550859132928854,0.00798535336041756,81,215,1
Black-headed Grosbeak,AC_10,0.006176781442469257,0.004068102588218258,0.009203650299616464,1.8963224477055978,0.009622153446272144,105,189,1
Black-headed Grosbeak,SJC_01,0.004536320522449146,0.002961541485988067,0.007233673144325796,1.3926875212973375,0.008279569462387957,81,168,0.5333333333333333
Black-headed Grosbeak,EW_08,0.0035084890847518566,0.0022026351197599334,0.0055925524521864,1.0771348591355194,0.004699271612900001,111,215,1
Black-headed Grosbeak,AC_05,0.0030272953838843897,7.003477207677454e-5,0.11770809460660096,0.9294044553405091,0,164,215,0.6
Black-headed Grosbeak,SJC_05,0.00301239830254462,0.001593825686753429,0.005674846003062379,0.9248309294657441,0.002262105758766824,81,203,1
Black-headed Grosbeak,SJC_09,0.0024068580724650084,0.001377797754470032,0.004155863816074584,0.738925123669622,0.0028959710357132932,81,198,1
Black-headed Grosbeak,EW_09,0.0012753220735946453,4.816262276177208e-5,0.030725592041131237,0.3915343126087974,0,160,170,0.3333333333333333
Black-headed Grosbeak,EW_03,9.934207827885918e-4,5.328404873872499e-4,0.001952051729223861,0.3049883095209824,0.0011971507811408847,111,215,1
Black-headed Grosbeak,EW_01,8.901809588331556e-4,4.5233910174109364e-4,0.0018028285399681724,0.2732928387507549,0.0012466943709860219,111,203,1
Black-headed Grosbeak,PC_01,8.555292833956183e-4,6.591830705421093e-5,0.019229120044545314,0.26265449083528425,0,112,215,1
Black-headed Grosbeak,PC_02,7.942569597757018e-4,3.9314730921474e-4,0.0015976105683188668,0.24384338608991699,0.0010073621382940322,112,215,1
Black-headed Grosbeak,WC_01,6.245389975668336e-4,2.462758024701742e-4,0.0015332229624568008,0.1917385828824286,0.0010851008420382534,112,183,1
