common_name,site,index,lwr,upr,rel_index,naive_rate,doy_min,doy_max,coverage
Black-headed Grosbeak,PC_01,7.683035547154341,6.210163786205169,9.56034220601385,12.647566592696968,0.10734546889645306,112,215,1
Black-headed Grosbeak,AC_02,2.4439207132738296,2.2665090021108316,2.6575627947896043,4.0231038602770255,2.578052887897683,105,215,1
Black-headed Grosbeak,SJC_09,1.566407105292451,1.4377096448657967,1.7194320593438301,2.578569115536332,1.7049761327295745,81,198,1
Black-headed Grosbeak,SJC_01,1.503006747765696,1.3858498189443962,1.6283934115125882,2.474201481298661,2.1909660697643725,81,168,0.5333333333333333
Black-headed Grosbeak,SJC_03,1.2158277096784285,1.1036649560027474,1.3352291254341038,2.00145656349327,1.0045165022104754,81,215,1
Black-headed Grosbeak,AC_12,1.1540070653870083,0.7246402547965188,1.7910937910625884,1.8996894024954578,1.6041666666666667,105,127,0
Black-headed Grosbeak,SJC_05,1.1294928572604994,1.0210153436329619,1.2494044960946702,1.8593348996632941,0.7961281620412888,81,203,1
Black-headed Grosbeak,WC_02,1.0958119062729073,1.0065383009839945,1.1912366423460439,1.8038903988658572,0.8929608578440424,112,215,1
Black-headed Grosbeak,EW_08,0.8734046123992477,0.8009994992774363,0.9520923210336099,1.4377706480584456,0.8217726252430874,111,215,1
Black-headed Grosbeak,EW_01,0.8159212815507166,0.7481787647292363,0.8859725212914519,1.343143433279242,0.8565923687193048,111,203,1
Black-headed Grosbeak,PC_02,0.6349659653280477,0.5863278591369878,0.6885480735796695,1.0452605980141603,0.6160019475668007,112,215,1
Black-headed Grosbeak,EW_03,0.5133596822995209,0.47480172994830766,0.5593352941379671,0.8450762368649652,0.5085895568546859,111,215,1
Black-headed Grosbeak,WC_01,0.4962090113186609,0.44392246419716,0.5531818650366338,0.8168433526086634,0.5716311235857519,112,183,1
Black-headed Grosbeak,AC_10,0.4929517259992836,0.4533581031444969,0.5377561630113208,0.8114813140321925,0.6443093918049244,105,189,1
Black-headed Grosbeak,AC_05,0.01648493807458311,0.002750313809788689,0.12258529750882492,0.027136976107314543,0,164,215,0.6
Black-headed Grosbeak,EW_09,0.0047822914602763805,7.047910509910838e-4,0.029080954714608025,0.007872454752852715,0,160,170,0.3333333333333333
Chestnut-backed Chickadee,AC_10,0.5962723834964849,0.5259927918915767,0.6694755909609453,4.087210866678992,0.8632446234655581,105,189,1
Chestnut-backed Chickadee,EW_08,0.5344768104655755,0.4776328929186341,0.6019829582449684,3.663626705152791,0.5520144377621469,111,215,1
Chestnut-backed Chickadee,SJC_09,0.4977956130509653,0.4408312514632844,0.5600026061404847,3.41219163483031,0.6728306039640551,81,198,1
Chestnut-backed Chickadee,EW_01,0.4114234113931087,0.3662133150663829,0.4650216377584862,2.820144424585729,0.42115602568945976,111,203,1
Chestnut-backed Chickadee,SJC_05,0.3614548573268034,0.30907493577985107,0.4200162038197002,2.4776297906286056,0.28768662649728666,81,203,1
Chestnut-backed Chickadee,SJC_01,0.35895610612769535,0.3218346358657955,0.401184979820039,2.460501841495302,0.6160479655057938,81,168,0.5333333333333333
Chestnut-backed Chickadee,SJC_03,0.3068939971804001,0.26885973159985216,0.3523446274597819,2.1036367185730613,0.263619037218913,81,215,1
Chestnut-backed Chickadee,AC_02,0.24461568827160224,0.216124170430011,0.277825170343345,1.6767435939279043,0.2866323790451049,105,215,1
Chestnut-backed Chickadee,PC_01,0.24247802531674695,0.1549240927257565,0.3733664975757286,1.6620907615979073,0.009077006561097134,112,215,1
Chestnut-backed Chickadee,AC_12,0.1381215460443581,0.06630978752456515,0.3049868394717388,0.9467684560613753,0.23958333333333334,105,127,0
Chestnut-backed Chickadee,WC_02,0.12579825493129482,0.11079576503721271,0.14292653396620822,0.8622971796034444,0.10907699177138483,112,215,1
Chestnut-backed Chickadee,PC_02,0.11766520942640304,0.10357355197632746,0.13347869309437832,0.8065483760585552,0.11050762657085535,112,215,1
Chestnut-backed Chickadee,EW_03,0.06113580414816097,0.053298470280281784,0.07082511546672307,0.41906170732288356,0.06344899140046689,111,215,1
Chestnut-backed Chickadee,WC_01,0.019896437422887863,0.01557742862925829,0.025397222221522842,0.13638219292694315,0.024957319366879827,112,183,1
Chestnut-backed Chickadee,AC_05,0.018287383533171074,0.002994892336991992,0.10163194027127194,0.12535276623346067,0,164,215,0.6
Chestnut-backed Chickadee,EW_09,0.006005119413176353,0.0012001292900484968,0.02578229894120777,0.04116271355267966,0,160,170,0.3333333333333333
Purple Finch,EW_08,1.102123871183636,1.004132501828303,1.2126210014167251,4.428320611565334,1.3216951372537258,111,215,1
Purple Finch,PC_01,1.0617139452174291,0.8019611019173655,1.4039149443485488,4.265954009455718,0.02012727541808495,112,215,1
Purple Finch,SJC_03,0.8315780217555311,0.744370891269211,0.9221688291087838,3.3412706050091225,0.7036324826429472,81,215,1
Purple Finch,WC_02,0.7129985963965637,0.6444914514922359,0.7790787826521708,2.864819883675282,0.6524476017497978,112,215,1
Purple Finch,EW_01,0.5479701947884817,0.49978665057630944,0.6024052546828976,2.201737727991726,0.7226293917642613,111,203,1
Purple Finch,AC_12,0.3758401826555739,0.20904492758058793,0.645456485704869,1.510121385648533,0.6979166666666666,105,127,0
Purple Finch,AC_10,0.3209596165250487,0.2917564728445054,0.35466028836689634,1.2896119233961854,0.4459930603863024,105,189,1
Purple Finch,WC_01,0.2921245830414415,0.2564024927637279,0.33058893618569246,1.173753101670911,0.37414277033478976,112,183,1
Purple Finch,PC_02,0.28308461848170496,0.2554583293370368,0.3115269637592592,1.137430631543566,0.29888434643183937,112,215,1
Purple Finch,SJC_09,0.2593994669145211,0.23305842941524393,0.28760816403705286,1.042263974132937,0.28595032523006075,81,198,1
Purple Finch,SJC_01,0.23616432544464783,0.21669441231583259,0.25986760030341516,0.9489054519432545,0.3894997460132073,81,168,0.5333333333333333
Purple Finch,SJC_05,0.2024642244215748,0.17786328033878543,0.23057173222673452,0.8134988466838692,0.13572634552600946,81,203,1
Purple Finch,EW_03,0.1979969372039812,0.17833952768859435,0.21758393747939814,0.795549339753939,0.22456553402901097,111,215,1
Purple Finch,AC_02,0.15460441907130906,0.1394187517414439,0.1725214773242752,0.6211987177786915,0.19400118337808928,105,215,1
Purple Finch,AC_05,0.02124027925600113,0.003935704919782992,0.11617424799499483,0.08534318953071775,0,164,215,0.6
Purple Finch,EW_09,0.007085407781869199,0.0013755918310102008,0.03588351528332052,0.028469084231067195,0,160,170,0.3333333333333333
Warbling Vireo,SJC_05,0.5804109707445346,0.5170755562694257,0.6520553225332036,3.3983006187263807,0.41715891492552903,81,203,1
Warbling Vireo,PC_01,0.5790558974251707,0.4340331185020083,0.784196699015577,3.3903666775506878,0.020916580336441223,112,215,1
Warbling Vireo,SJC_01,0.42714890407805306,0.3919794674057823,0.4695017056680049,2.5009527010743735,0.7329218880618208,81,168,0.5333333333333333
Warbling Vireo,SJC_09,0.4147787878572582,0.37616362524311986,0.4599870786113704,2.4285257902719812,0.538221579896641,81,198,1
Warbling Vireo,EW_01,0.40525439555629506,0.36783861451075256,0.4458908472017271,2.372760565490243,0.5591990933131847,111,203,1
Warbling Vireo,SJC_03,0.3828106139802774,0.3446110264998288,0.4249652743812666,2.241352441487172,0.337125238664808,81,215,1
Warbling Vireo,EW_08,0.3709149547499946,0.33716786582742797,0.4053013506845356,2.1717034717742596,0.46322819962905754,111,215,1
Warbling Vireo,PC_02,0.26923736862961944,0.2439297202129909,0.29635001096063274,1.5763821886836964,0.2963659410861043,112,215,1
Warbling Vireo,WC_02,0.2611544503776927,0.23851050390773662,0.2872238397656072,1.5290567805140298,0.28644041052430147,112,215,1
Warbling Vireo,AC_10,0.24451736386433146,0.22320943815104025,0.26895303756906047,1.4316467999279725,0.39088436337583465,105,189,1
Warbling Vireo,EW_03,0.15303643782061244,0.13928476297641346,0.1693676874888599,0.8960268629422106,0.1856581336419322,111,215,1
Warbling Vireo,AC_12,0.11957760613805704,0.06576823845714677,0.23451131738708333,0.7001257271266097,0.20833333333333334,105,127,0
Warbling Vireo,AC_02,0.09443440037025495,0.08520765020106248,0.10605676464899513,0.5529125005952759,0.1292248873515088,105,215,1
Warbling Vireo,WC_01,0.08392325516089644,0.07264778175139903,0.09742205311251262,0.4913698470808786,0.11719089094013137,112,183,1
Warbling Vireo,AC_05,0.0125830590605716,0.0025696716044425437,0.06535277076645205,0.07367368906924424,0,164,215,0.6
Warbling Vireo,EW_09,0.004877049308739793,9.887287596258847e-4,0.021033240598336715,0.02855507652136427,0,160,170,0.3333333333333333
Wilson's Warbler,PC_01,3.155371807024865,2.4707834547194207,3.9315318272969426,7.298149197298295,0.0643283508460362,112,215,1
Wilson's Warbler,SJC_05,1.3862034910990795,1.2444846142826766,1.543297698348668,3.2061894808509708,1.1133552284471775,81,203,1
Wilson's Warbler,SJC_09,1.264407497852046,1.1606535396214073,1.3818899223094758,2.924484063958089,1.69500112138434,81,198,1
Wilson's Warbler,EW_08,1.2643138001036394,1.158165760491417,1.3880192264803717,2.924267347770855,1.394683824007279,111,215,1
Wilson's Warbler,SJC_03,0.966836832692493,0.8786545386759176,1.0658750697914463,2.2362244090296963,0.9025496823774513,81,215,1
Wilson's Warbler,SJC_01,0.9461723037748965,0.8668761803059251,1.028936370653933,2.188428832357322,1.5685584349613821,81,168,0.5333333333333333
Wilson's Warbler,EW_01,0.882274962255489,0.80873159842142,0.9594973103485451,2.0406388537940496,1.0332829618435964,111,203,1
Wilson's Warbler,AC_10,0.6445118715457472,0.5870379310341118,0.7011309746512389,1.4907098388528355,0.9892073594894844,105,189,1
Wilson's Warbler,AC_02,0.6110085308177036,0.5566255988033628,0.6691648765605677,1.413219009183628,0.7918437940922124,105,215,1
Wilson's Warbler,EW_03,0.4617565476991292,0.4218955727182379,0.5045017128308413,1.0680098524158095,0.5005087890819849,111,215,1
Wilson's Warbler,AC_12,0.4395673781862174,0.2747597408152619,0.7567916365266916,1.0166878911468256,0.7083333333333334,105,127,0
Wilson's Warbler,PC_02,0.43825938351975446,0.4016000675031172,0.47938687446146344,1.0136625930808847,0.4528092811631675,112,215,1
Wilson's Warbler,WC_02,0.43676190499019263,0.39857940076754045,0.47594354932029553,1.0101990323986976,0.4873717111557998,112,215,1
Wilson's Warbler,WC_01,0.14495314021223404,0.12805753874322434,0.1644989563662479,0.33526624074240097,0.2089904221765676,112,183,1
Wilson's Warbler,AC_05,0.019344998332243436,0.0028324234439593386,0.11296246609540651,0.04474359685152842,0,164,215,0.6
Wilson's Warbler,EW_09,0.006156997807718944,0.0011615172388882845,0.03503949257011607,0.014240695346308289,0,160,170,0.3333333333333333
Yellow Warbler,PC_01,1.2052090390921437,0.861544399492458,1.6844213620522313,9.22023440555064,0.027625672142469537,112,215,1
Yellow Warbler,EW_08,0.5250760023623113,0.46104109573651153,0.5925273152066062,4.016999263593998,0.853567697006964,111,215,1
Yellow Warbler,AC_02,0.28125699981787966,0.24634173732477463,0.324359521206517,2.1517059550733237,0.483910609439716,105,215,1
Yellow Warbler,EW_01,0.26014851056809934,0.22869302130192223,0.2972286488647951,1.9902192647837895,0.4560634680770683,111,203,1
Yellow Warbler,SJC_01,0.20676855128894633,0.18076825564755117,0.234222734939259,1.5818455128881985,0.37450052597264943,81,168,0.5333333333333333
Yellow Warbler,SJC_05,0.20674179000099768,0.17186916668174404,0.24491434707830126,1.5816407804808919,0.15581916726564418,81,203,1
Yellow Warbler,AC_10,0.2041733533629722,0.17824162279132094,0.23447771339697002,1.5619914191748747,0.386385694232123,105,189,1
Yellow Warbler,EW_03,0.2032620716162707,0.17917127371303473,0.23136843884346397,1.555019822512758,0.335501506414733,111,215,1
Yellow Warbler,SJC_09,0.1926991301141905,0.16694049972792585,0.2223383632834776,1.4742099434774478,0.36832461246812775,81,198,1
Yellow Warbler,AC_12,0.17231126264876612,0.07990627691531532,0.3588672249685479,1.318236240191822,0.4270833333333333,105,127,0
Yellow Warbler,SJC_03,0.16509735210690268,0.1415408655811513,0.19249536718109156,1.263047518551668,0.21109998242539751,81,215,1
Yellow Warbler,WC_02,0.08567574694804596,0.0742169684739083,0.09797457533238002,0.6554468512173416,0.14160872615934172,112,215,1
Yellow Warbler,PC_02,0.06669532506141768,0.0578841519424816,0.0771096989652969,0.5102405565128288,0.11211940599212579,112,215,1
Yellow Warbler,WC_01,0.04016558502940766,0.032871124610351306,0.048498495677722395,0.3072795647850267,0.08507190601579906,112,183,1
Yellow Warbler,AC_05,0.014034550894133073,0.002330309733617176,0.07425390243306788,0.10736880061737065,0,164,215,0.6
Yellow Warbler,EW_09,0.0050073719348933165,0.001282852209228967,0.023680673996737255,0.038307995955846955,0,160,170,0.3333333333333333
