nativity,family,genus,species,species_author,infraspecific_rank,infraspecific_epithet,infraspecific_author,name_minus_authors,name_plus_authors,synonyms,common,TJM1/TJM2,major_clade,endemicity,
NATIVE,Isoetaceae,Isoetes,bolanderi,Engelm.,,,,Isoetes bolanderi,Isoetes bolanderi Engelm.,Isoetes bolanderi Engelm. var. bolanderi; Isoetes bolanderi var. pygmaea (Engelm.) Clute,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,echinospora,Durieu,,,,Isoetes echinospora,Isoetes echinospora Durieu,Isoetes braunii Durieu; Isoetes muricata Durieu,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,howellii,Engelm.,,,,Isoetes howellii,Isoetes howellii Engelm.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,nuttallii,A. Braun ex Engelm.,,,,Isoetes nuttallii,Isoetes nuttallii A. Braun ex Engelm.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,occidentalis,L.F. Hend.,,,,Isoetes occidentalis,Isoetes occidentalis L.F. Hend.,Isoetes lacustris var. paupercula Engelm.,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,orcuttii,A.A. Eaton,,,,Isoetes orcuttii,Isoetes orcuttii A.A. Eaton,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Lycopodiaceae,Lycopodiella,inundata,(L.) Holub,,,,Lycopodiella inundata,Lycopodiella inundata (L.) Holub,Lycopodium inundatum L.,INUNDATED BOG CLUB-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Lycopodiaceae,Lycopodium,clavatum,L.,,,,Lycopodium clavatum,Lycopodium clavatum L.,,RUNNING-PINE,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,asprella,Maxon,,,,Selaginella asprella,Selaginella asprella Maxon,,BLUISH SPIKE-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,bigelovii,Underw.,,,,Selaginella bigelovii,Selaginella bigelovii Underw.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,cinerascens,A.A. Eaton,,,,Selaginella cinerascens,Selaginella cinerascens A.A. Eaton,,ASHY SPIKE-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,eremophila,Maxon,,,,Selaginella eremophila,Selaginella eremophila Maxon,,DESERT SPIKE-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,hansenii,Hieron.,,,,Selaginella hansenii,Selaginella hansenii Hieron.,,NULL,TJM1,LYCOPHYTES,1,
NATURALIZED,Selaginellaceae,Selaginella,kraussiana,(Kunze) A. Braun,,,,Selaginella kraussiana,Selaginella kraussiana (Kunze) A. Braun,,NULL,TJM2,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,leucobryoides,Maxon,,,,Selaginella leucobryoides,Selaginella leucobryoides Maxon,,MOJAVE SPIKE-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,oregana,D.C. Eaton,,,,Selaginella oregana,Selaginella oregana D.C. Eaton,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,scopulorum,Maxon,,,,Selaginella scopulorum,Selaginella scopulorum Maxon,Selaginella densa Rydb. var. scopulorum (Maxon) R.M. Tryon,ROCKY MOUNTAIN SPIKE-MOSS,TJM2,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,wallacei,Hieron.,,,,Selaginella wallacei,Selaginella wallacei Hieron.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,watsonii,Underw.,,,,Selaginella watsonii,Selaginella watsonii Underw.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Aspleniaceae,Asplenium,septentrionale,(L.) Hoffm.,,,,Asplenium septentrionale,Asplenium septentrionale (L.) Hoffm.,,NORTHERN SPLEENWORT,TJM1,FERNS,,
NATIVE,Aspleniaceae,Asplenium,trichomanes,L.,subsp.,,,Asplenium trichomanes subsp. trichomanes,Asplenium trichomanes L. subsp. trichomanes,,MAIDENHAIR SPLEENWORT,TJM1,FERNS,,
NATIVE,Aspleniaceae,Asplenium,vespertinum,Maxon,,,,Asplenium vespertinum,Asplenium vespertinum Maxon,,WESTERN SPLEENWORT,TJM1,FERNS,,
NATIVE,Aspleniaceae,Asplenium,viride,Huds.,,,,Asplenium viride,Asplenium viride Huds.,"Asplenium trichomanes-ramosum L., nom. rej.",GREEN SPLEENWORT,TJM2,FERNS,,
NATIVE,Athyriaceae,Athyrium,distentifolium,,var.,(Butters) Cronquist,(Butters) Cronquist,Athyrium distentifolium var. americanum,Athyrium distentifolium Opiz var. americanum (Butters) Cronquist,Athyrium alpestre Milde var. americanum Butters illeg.,NULL,TJM2,FERNS,,
