site,aru_site_name,date,surveyor,time_start,time_stop,species,behavior,distance,detection,using_habitat,sex_age,plant,plant_interaction,second_bird,after,recorded,temp_local,temp_atmospheric,wind_code,wind_local_avg,wind_local_max,wind_atmosph_avg,wind_atmosph_max,rh_local,rh_atmos,cloud_type,cloud_cover_fog_elev,precip,breeding_flag,species_notes,checklist_notes
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Yellow Warbler,S,NA,S,NA,NA,NA,NA,NA,NA,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Acorn Woodpecker,C,NA,C,NA,NA,NA,NA,NA,NA,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Spotted Towhee,C,NA,C,NA,NA,NA,NA,NA,NA,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Bewick's Wren,S,NA,S,NA,NA,NA,NA,NA,NA,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,California Towhee,C,NA,C,NA,NA,NA,NA,NA,NA,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Anna's Hummingbird,S,NA,C,NA,NA,NA,NA,NA,NA,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Chestnut-backed Chickadee,V,NA,V,NA,NA,Fraxinus uhdei,Foraging on shamel ash,NA,NA,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Downy Woodpecker,C,NA,C,NA,NA,NA,NA,NA,NA,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Western Flycatcher,C,NA,C,NA,NA,NA,NA,NA,yes,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Ellwood,EW_01,2025-06-18T00:00:00Z,"Santiago Lupi, Toby Fowler",08:31:00,08:36:00,Lesser Goldfinch,C,NA,C,NA,NA,NA,NA,NA,yes,NA,66,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
